Symbol,Name,LastSale,NetChange,NetChangeDirection,PercentChange,1YrPercentChange
"RNEM","First Trust Emerging Markets Equity Select ETF","50.31","0","unch","0","2.67"
"RNLC","First Trust Large Cap US Equity Select ETF","23.3","0","unch","0","2.1"
"RNMC","First Trust Mid Cap US Equity Select ETF","22.33","0","unch","0","-2.23"
"RNSC","First Trust Small Cap US Equity Select ETF","21.23","-0.09","down","0.42","-8.97"
"ROM","ProShares Ultra Technology","128.1394","1.4994","up","1.18","7.6"
"ROOF","IQ US Real Estate Small Cap ETF","25.74","-0.06","down","0.23","-4.05"
"RORE","Hartford Multifactor REIT ETF","16.24","-0.1066","down","0.65","3.2"
"ROUS","Hartford Multifactor U.S. Equity ETF","32.5179","0.1483","up","0.46","-2.3"
"RPG","Invesco S&P 500 Pure Growth ETF","119.72","0.33","up","0.28","0.01"
"RPV","Invesco S&P 500 Pure Value ETF","65.59","-0.36","down","0.55","-4.48"
"RSP","Invesco S&P 500 Equal Weight ETF","109.59","0.05","up","0.05","2.41"
"RTM","Invesco S&P 500 Equal Weight Materials ETF","109.9425","-0.0575","down","0.05","1.18"
"RVRS","ETF Series Solutions","16.914","-0.0726","down","0.43","0.63"
"RWDC","Direxion MSCI Defensives Over Cyclicals ETF","51.0104","0","unch","0","2.37"
"RWGV","Direxion Russell 1000 Growth Over Value ETF","60.6","0.5131","up","0.85","18.05"
"RWJ","Invesco Exchange-Traded Fund Trust II Invesco S&P SmallCap 600","66.7","-0.5974","down","0.89","-12.97"
"RWK","Invesco Exchange-Traded Fund Trust II Invesco S&P MidCap 400 R","60.7683","-0.3232","down","0.53","-4.23"
"RWL","Invesco Exchange-Traded Fund Trust II Invesco S&P 500 Revenue","54.8762","-0.1138","down","0.21","1.63"
"RWLS","Direxion Russell Large Over Small Cap ETF","59.007","0","unch","0","17.66"
"RWM","ProShares Short Russell2000","39.47","0.07","up","0.18","5.49"
"RWR","SPDR DJ Wilshire REIT ETF","103.7835","-0.2265","down","0.22","7.79"
"RWSL","Direxion Russell Small Over Large Cap ETF","53.0303","0","unch","0","5.07"
"RWVG","Direxion Russell 1000 Value Over Growth ETF","54.77","-0.255","down","0.46","8.96"
"RWW","Invesco Exchange-Traded Fund Trust II Invesco S&P Financials R","68.587","0.1732","up","0.25","-0.11"
"RXD","ProShares UltraShort Health Care","21.88","-0.0307","down","0.14","-4.45"
"RXL","ProShares Ultra Health Care","102.07","0.6592","up","0.65","-7.08"
"RYE","Invesco S&P 500 Equal Weight Energy ETF","45.0908","-0.8692","down","1.89","-23.51"
"RYF","Invesco S&P 500 Equal Weight Financial ETF","43.639","-0.251","down","0.57","-0.34"
"RYH","Invesco S&P 500 Equal Weight Health Care ETF","200.4422","0.3822","up","0.19","0.77"
"RYJ","Invesco Raymond James SB-1 Equity ETF","43.42","-0.1833","down","0.42","-10.58"
"RYT","Invesco S&P 500 Equal Weight Technology ETF","183.38","0.6641","up","0.36","8.96"
"RYU","Invesco S&P 500 Equal Weight Utilities ETF","104.63","0.63","up","0.61","15.76"
"RYZZ","RYZZ Managed Futures Strategy Plus ETF","24.19","0","unch","0","-3.32"
"RZG","Invesco S&P Smallcap 600 Pure Growth ETF","111.47","-0.36","down","0.32","-18.32"
"RZV","Invesco S&P Smallcap 600 Pure Value ETF","65.2131","-0.2499","down","0.38","-17.02"
"SAA","ProShares Ultra SmallCap600","99.95","0.0017","up","0","-23.3"
"SBB","ProShares Short SmallCap600","31.73","0.1556","up","0.49","7.47"
"SCC","ProShares UltraShort Consumer Services","13.64","-0.1245","down","0.9","-20.3"
"SCHA","Schwab U.S. Small-Cap ETF","71.98","-0.1","down","0.14","-6.96"
"SCHB","Schwab U.S. Broad Market ETF","72.26","0.22","up","0.31","2.61"
"SCHD","Schwab US Dividend Equity ETF","55.6953","0.1553","up","0.28","4.63"
"SCHG","Schwab U.S. Large-Cap Growth ETF","85.7707","0.5807","up","0.68","4.9"
"SCHH","Schwab U.S. REIT ETF","46.72","-0.05","down","0.11","8.89"
"SCHK","Schwab 1000 Index ETF","29.6118","0.0818","up","0.28","3.61"
"SCHM","Schwab U.S. Mid Cap ETF","57.438","-0.022","down","0.04","-1.56"
"SCHV","Schwab U.S. Large-Cap Value ETF","57.41","0.02","up","0.03","2.08"
"SCHX","Schwab U.S. Large-Cap ETF","72.05","0.24","up","0.33","3.73"
"SCIU","Global X Scientific Beta US ETF","33.6375","0","unch","0","1.84"
"SDD","ProShares UltraShort SmallCap600","12.63","0.1354","up","1.08","10.57"
"SDOG","ALPS Sector Dividend Dogs ETF","44.83","-0.22","down","0.49","-2.34"
"SDP","ProShares UltraShort Utilities","15.5975","-0.101","down","0.64","-30.69"
"SDS","ProShares UltraShort S&P500","28.95","-0.2","down","0.69","-13.83"
"SDVY","First Trust SMID Cap Rising Dividend Achievers ETF","20.87","0.073","up","0.35","-4.16"
"SDY","SPDR S&P Dividend ETF","103.74","0.02","up","0.02","4.91"
"SECT","Northern Lights Fund Trust IV","29.22","-0.04","down","0.14","1.35"
"SEF","ProShares Short Financials","20.6861","-0.0889","down","0.43","-5.78"
"SFY","SoFi Select 500 ETF","10.44","0.05","up","0.48","3.74"
"SFYF","SoFi 50 ETF","19.65","0.0446","up","0.23","-2.18"
"SFYX","SoFi Next 500 ETF","10.06","-0.0275","down","0.27","0.57"
"SIJ","ProShares UltraShort Industrials","12.1816","-0.0986","down","0.8","-14.96"
"SIZ","AGFiQ U.S. Market Neutral Size Fund","17.6319","0","unch","0","-12.06"
"SKF","ProShares UltraShort Financials","16.0701","0.0101","up","0.06","-13.7"
"SKYY","First Trust Cloud Computing ETF","58.2965","0.1565","up","0.27","3.58"
"SLT","ETF Series Solutions","25.51","0","unch","0","0.43"
"SLY","SPDR S&P 600 Small Cap ETF (based on S&P SmallCap 600 Index --","69.1459","-0.1641","down","0.24","-9.95"
"SLYG","SPDR S&P 600 Small Cap Growth ETF (based on S&P SmallCap 600 G","61.84","-0.02","down","0.03","-10.5"
"SLYV","SPDR S&P 600 Small Cap Value ETF (based on S&P SmallCap Value","62.7","-0.16","down","0.25","-9.51"
"SMH","VanEck Vectors Semiconductor ETF","122.23","0.45","up","0.37","15.41"
"SMLF","iShares Edge MSCI Multifactor USA Small-Cap ETF","40.8759","0.0199","up","0.05","-7.96"
"SMMD","iShares Trust","45.6","-0.02","down","0.04","-5.23"
"SMMV","iShares Trust","34.6101","0.0001","up","0","4.5"
"SMN","ProShares UltraShort Basic Materials","26.53","0.03","up","0.11","3.52"
"SNPE","Xtrackers S&P 500 ESG ETF","26.05","0.0896","up","0.35","3.8"
"SOXL","Direxion Daily Semiconductor Bull 3x Shares","189.89","2.64","up","1.41","21.45"
"SOXS","Direxion Daily Semiconductor Bear 3x Shares","34.5748","-0.5052","down","1.44","-64.71"
"SOXX","iShares PHLX SOX Semiconductor Sector Index Fund","219.8","1.13","up","0.52","18.05"
"SPDN","Direxion Daily S&P 500 Bear 1X Shares","26.3303","-0.1338","down","0.51","-5.65"
"SPDV","AAM S&P 500 High Dividend Value ETF","26.5","-0.0516","down","0.19","-3.87"
"DBMF","iM DBi Managed Futures Strategy ETF ETF","27.22","0.0343","up","0.13","8.72"
"DDG","ProShares Short Oil & Gas","25.82","0.3198","up","1.25","18.88"
"DDM","ProShares Ultra Dow30","50.73","0.32","up","0.63","5.48"
